"cluster","CE","CER","DAG","DCER","HCER","LCER","LPC","LPE","MAG","PC","PE","PI","SM","TAG"
"2",11.2469774660106,3.09865536105336,6.7768383119544,0.995593056114343,1.03153635326805,0.939226577728209,7.55913920310443,2.59452466367314,4.20821289458527,11.3929211029776,7.20481075844113,3.75294122328464,9.08269487305382,11.6413419074019
"3",11.3798911258651,3.11742908358689,6.30644817964324,0.801489796289308,2.18481981543264,2.25942315228141,7.84257851634956,2.68333713920466,4.28307723751377,11.137597659604,7.38342090897116,2.39152028533603,9.18690781310748,11.1365983534452
"3",10.8816424440756,1.98499029642307,4.67811135326583,0.177343788281726,1.80962023484189,1.51253031368296,7.50676298227471,2.34707031548826,3.99637970697669,10.8894598529257,6.97864411362655,3.55284428499675,8.7500289360791,9.95520003035892
"2",11.3716497904801,3.22090258496064,6.46223231715713,1.04117287872882,1.46409316523824,1.57710248523451,7.70860800670076,2.63098783738895,4.25184783130114,11.4693686153375,7.54373636410974,3.76870307228849,9.11449664927619,11.4836757323313
"3",11.0059788641427,2.99227899139821,4.65613593779505,0.570268615578123,2.1785871749115,1.91594150598015,7.42837022337494,2.36117881104292,3.30903062978875,11.0954280127097,6.79318450118067,2.2731876280484,9.24606908439612,9.72275835918699
"1",11.1192511150491,2.54547421084018,4.13084852186896,0.725610293875998,2.47721103119853,2.16333770822547,7.40043460787978,2.39881550430402,4.13901100797225,11.2965331193418,6.97100316058855,2.66705191654601,8.98867219093423,9.44383060487283
"2",11.160918928,2.72822529375978,5.87956609644875,0.666574823579046,2.18840092460321,1.80430142341962,7.84229125142636,2.77125175187814,3.97288561304779,11.0007739729443,7.17180829208289,2.50718572611581,8.79616261402917,11.0428262495212
"1",11.214268115529,2.78977097731006,4.85744859218038,0.762901547935981,2.4746437037058,2.00399793416681,7.74732562992767,2.81508351715437,2.74676420988223,11.2681483779967,7.63187767512563,3.02107102437785,9.14798382085631,10.0783056122178
"3",10.6882468116864,2.20945336562895,4.20800214258043,0.355918371512278,2.11812712163654,2.11146539142021,7.34701183126423,2.34482849699744,4.22585331117954,10.5636024199907,6.77268670659914,2.74616225387569,8.78262479570785,9.50158762682523
"1",10.6800843214307,2.37467784318398,5.11077247235166,0.392097566783076,2.00266652005441,1.54675867043477,7.79692475277997,2.79439507059603,3.95453134903855,10.5404661457492,6.94199715363526,2.08905741069605,8.67672544257161,10.6589219422276
"3",10.8512938336732,2.1325110397992,4.27235918138665,0.459221756822848,1.52255799287044,1.78135971352466,7.99382208778941,2.54025050259389,3.86540418133283,10.840900633985,6.62991318897637,2.13740515482544,8.8543145687498,9.39611773589058
"3",10.3251345255206,2.07131647672319,3.7719911892208,0.220329954879556,1.83305199188303,1.91299469102502,7.4305796704976,2.24874733869646,3.90463823404558,10.4368104247721,6.67120985455456,1.31127059148664,8.49222173796014,9.11973641154598
"3",10.8462315937645,2.41031396562593,5.09171675714654,0.790605242666613,1.79680538088048,1.97225150782585,7.37486299459874,2.33725438046577,4.35353502147283,10.6166260304934,5.94573878322438,2.45412323912127,8.92565531373793,10.0048707265714
"2",10.3210644736364,1.00007213294874,3.8875545142636,-0.248279213224955,1.17018145776525,1.57337452644594,7.3311480492328,1.9083517863716,3.87429532827367,10.098597992819,6.09784041293148,1.53684865042083,8.01636705633176,9.65083527069085
"2",11.4739010379452,3.00584907569669,7.03979640762002,0.855750556764647,1.49200697559395,1.40266761094833,7.88779148677472,2.88807105210223,4.33669756757599,11.4386234590359,7.4836102390284,4.3395436202959,8.92334472039603,12.2886685694196
"1",10.3799003289515,1.91215163716285,4.35965469506376,0.273098089178491,1.75180646513365,1.7075689633722,6.68653554362819,1.6706590814004,4.09598347648152,10.1855407626553,6.40038422519156,1.39528220413223,8.27913834903328,9.91033587220165
"3",10.8844170538619,2.14629678451923,3.89642686479494,0.339935493391058,1.41943102243146,1.67047780414429,7.37123822808661,2.30804044784124,4.03468233199131,11.1851219681442,6.69224724056749,4.06696745975318,8.98347933329245,8.89344776509145
"1",11.1414327909293,2.84380299350219,4.62058054582597,0.761285273361619,2.14649230697719,2.19692173382033,7.69516355149612,2.67204057198898,4.39895911831286,11.2454196013969,6.92322407123412,3.54032490603074,9.07259622913827,9.80811583960088
"3",10.9839555258111,2.64496375431576,4.87413791581279,0.616451803192927,2.03400436757658,2.11869195279181,7.68017735088364,2.53174325865972,4.09656547534829,10.960860630442,6.75045509965899,3.66447146259867,8.90708294212449,10.0063597433543
"3",11.1659571480301,2.85849828266863,4.61114876782065,1.02849843011823,2.16201663259515,2.55662560372993,7.51639263854612,2.6732850451686,4.01386419314254,11.0908759194701,6.88829028112474,3.54851060716014,9.30409230926856,9.73512408151501
"1",10.8712838365646,2.97276616525449,4.82541931141797,0.73621519762493,1.75514395848641,1.50766780429015,8.09211862029557,2.72086943319359,4.42138489895359,10.9922423050804,6.46311561989236,2.36381586956588,8.84773733585526,10.1810317165854
"3",10.7272721169121,2.41562347512092,4.42441826594578,0.473423270279197,1.86147901754989,1.67106687196445,7.37144124680901,2.22011322475379,3.97873562383507,10.7052012422108,6.80419944268132,3.57734422773091,8.67813037252573,9.668431367922
"2",11.0147437293956,2.7720756722191,6.12100710958673,0.873970646251952,1.50029217673417,1.24141310702649,7.2924955740624,2.4877435830197,3.90936029800383,11.248892941797,6.81699641872007,3.31147405201999,8.69394269350846,11.5433798816267
"2",10.7483010476601,2.51636821097614,5.55595109471549,0.655077003382484,1.69278425663401,1.71109838635112,7.61957734404188,2.63129057478191,4.26575942596083,10.7140316738034,6.55886914186876,2.62004676504945,8.32951113394908,11.0540120606458
"1",10.9713093125336,3.18900218599396,5.76291748899472,0.832849516893454,1.45948407932132,1.86714527652205,7.68965140352959,3.15109571365067,4.07753355990414,11.226256835793,7.65766572656207,4.1204017104948,8.8108177394507,10.9939134892382
"2",10.9189817182108,2.64092165094943,5.11018782396603,0.585154847237125,1.726046456482,1.91218996848244,7.68109782563066,3.10430310837714,4.14509047680242,11.3420780024214,7.31424969223588,3.9398659618568,9.00893697744802,10.392229398521
"2",10.9868140769135,2.85921422089285,5.29993696769214,0.624241296072524,1.67387296810997,1.79954325831092,7.89514687845745,3.26262859078313,4.30928534610913,11.1703156784474,7.24122336059433,3.42494895378998,8.92956437550733,10.6214374447674
"3",10.7637501643696,2.05810864940117,4.27746409329539,0.425781538703535,2.06915220186942,2.07203718077288,7.54888431474493,2.36353556043294,3.81649731148601,10.7015412598816,6.899909120171,2.02871058595414,8.87615469254647,9.3972726757002
"1",11.1366028390577,2.41427086388281,5.30398891953049,0.851199338593294,1.96879118788359,2.24592153269824,7.75877819571254,2.77890241734403,3.9197500432683,11.1183525874275,6.70426610448652,3.48636684887487,9.05761137496583,10.6591771224062
"2",11.2655382804087,2.66836878284203,5.51624527886205,0.633570706757934,1.60923489316847,1.83224192137078,7.48316762788524,2.73883267556971,4.33548325590349,11.0645231782064,7.33495524730142,4.14119570120762,9.24561450076596,10.8601783426015
"1",10.5021008257675,2.40253118717532,5.27560680376162,0.483983410300573,1.01906136509343,1.49881251554857,7.1490428718251,2.31698562139216,3.70030654014439,10.4071562113464,6.3849011463792,3.45729222140427,8.22697278403574,11.1645933452006
"2",10.9192685657137,3.01934608880481,5.56485675173226,1.13527217947625,1.80549883497892,2.15791682629412,7.7192382114634,2.53866231448749,4.16538137970323,11.0463177958582,7.59831309250329,3.56514626319517,8.98044836703411,10.5959241192316
"2",11.4702246785089,2.77232909153455,6.59764439244073,0.785006430708347,2.10524225381157,1.61917821605907,7.7419037737257,2.89702739447212,3.99134497045844,11.4134814309242,7.37482735697121,3.93912312131056,9.05500119102987,11.9418091130879
"3",10.7838249424793,2.43815975549151,4.84938383179092,0.490056624464311,1.87109451399646,1.30940904924012,6.73481256943812,2.10685079645022,4.01576515965488,10.7915023541624,7.12717927106946,3.29519403733199,8.74927111272071,9.96474646946699
